Any,Categoria_Nivell,Dia,DiaDeLaSetmana,Hora,Id,Latitud,Lloc_interes,Id_Instal,Longitud,Max_Nivell_LAeq_1h,Mes,Min_Nivell_LAeq_1h,Nivell_LAeq_1h
2023,1,1,dilluns,1899-12-30 03:00:00,11230,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,48
2023,1,1,dilluns,1899-12-30 04:00:00,11235,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,5,43.7,46.7
2023,1,1,dilluns,1899-12-30 07:00:00,11246,"41,406",Plaça de Joanic,7306,"2,162636",90.8,5,53.1,56.3
2023,1,1,dimarts,1899-12-30 02:00:00,20025,"41,406",Plaça de Joanic,7306,"2,162636",90.8,8,53.1,56.6
2023,1,1,dimecres,1899-12-30 01:00:00,2975,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,62.8
2023,1,1,dimecres,1899-12-30 01:00:00,5657,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.8
2023,1,1,dimecres,1899-12-30 02:00:00,5662,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.7
2023,1,1,dimecres,1899-12-30 03:00:00,2981,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,50.6
2023,1,1,dimecres,1899-12-30 03:00:00,2984,"41,406",Plaça de Joanic,7306,"2,162636",90.8,2,53.1,55.6
2023,1,1,dimecres,1899-12-30 03:00:00,5668,"41,406",Plaça de Joanic,7306,"2,162636",90.8,3,53.1,56.2
2023,1,1,dimecres,1899-12-30 04:00:00,2986,"41,404484",Sagrada Familia,6756,"2,174691",91.4,2,46.5,50.6
2023,1,1,dimecres,1899-12-30 04:00:00,2987,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,2,60.1,61.5
2023,1,1,dimecres,1899-12-30 04:00:00,2988,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,2,43.7,47.3
2023,1,1,dimecres,1899-12-30 04:00:00,5669,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,3,43.7,47.1
2023,1,1,dimecres,1899-12-30 04:00:00,5670,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,3,60.1,62.8
2023,1,1,dimecres,1899-12-30 04:00:00,5671,"41,406",Plaça de Joanic,7306,"2,162636",90.8,3,53.1,55.7
2023,1,1,dimecres,1899-12-30 04:00:00,5672,"41,404484",Sagrada Familia,6756,"2,174691",91.4,3,46.5,48.8
2023,1,1,dimecres,1899-12-30 04:00:00,28792,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,11,60.1,62.7
