Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
103173,152,794,dijous,1899-12-30 00:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3407.300000000001
103173,179,794,dijous,1899-12-30 00:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3049.7000000000003
103173,195,794,dijous,1899-12-30 00:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3116.4000000000005
97104,162,745,dijous,1899-12-30 00:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3061
103173,129,794,dijous,1899-12-30 01:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3348.8999999999996
103173,155,794,dijous,1899-12-30 01:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,2909.100000000001
103173,161,794,dijous,1899-12-30 01:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3011.5
97104,129,745,dijous,1899-12-30 01:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,2937.4
103173,93,794,dijous,1899-12-30 02:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3246.3999999999996
103173,117,794,dijous,1899-12-30 02:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,2721.6000000000004
103173,117,794,dijous,1899-12-30 02:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,2796.200000000001
97104,111,745,dijous,1899-12-30 02:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,2888.7000000000007
103173,102,794,dijous,1899-12-30 03:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3271.6000000000004
103173,100,794,dijous,1899-12-30 03:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,2628.9
103173,96,794,dijous,1899-12-30 03:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,2684.9999999999995
97104,104,745,dijous,1899-12-30 03:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,2854.900000000001
103173,84,794,dijous,1899-12-30 04:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3229.899999999999
103173,91,794,dijous,1899-12-30 04:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,2606.8
103173,85,794,dijous,1899-12-30 04:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,2637.7999999999993
97104,86,745,dijous,1899-12-30 04:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,2781.9000000000005
103173,115,794,dijous,1899-12-30 05:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3322.9
103173,104,794,dijous,1899-12-30 05:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,2629.9
103173,109,794,dijous,1899-12-30 05:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,2719.600000000001
97104,100,745,dijous,1899-12-30 05:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,2846.2
