"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
1,2023,1,1,"diumenge",0,"El Molino","41.37485","2.166773","87.6","60.1","74.3",6
2,2023,1,1,"diumenge",0,"Plaça de Joanic",41406,"2.162636","90.8","53.1","68.9",5
3,2023,1,1,"diumenge",0,"Torre Agbar","41.402124","2.184799","80.8","53.4","70.2",7
4,2023,1,1,"diumenge",0,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","73.2",7
5,2023,1,1,"diumenge",0,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","70.9",6
6,2023,1,1,"diumenge",0,"Rambla","41.378242","2.175112","88.1","50.2","75.5",7
7,2023,1,1,"diumenge",0,"Mercat del Born","41.387076","2.180426","91.7","39.7",70,6
8,2023,1,1,"diumenge",0,"Sagrada Familia","41.404484","2.174691","91.4","46.5","84.4",9
9,2023,1,1,"diumenge",0,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","62.1",5
10,2023,1,1,"diumenge",1,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7",62,5
11,2023,1,1,"diumenge",1,"El Molino","41.37485","2.166773","87.6","60.1","73.1",5
12,2023,1,1,"diumenge",1,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","67.2",5
13,2023,1,1,"diumenge",1,"Plaça de Joanic",41406,"2.162636","90.8","53.1","74.6",6
14,2023,1,1,"diumenge",1,"Sagrada Familia","41.404484","2.174691","91.4","46.5","64.6",5
15,2023,1,1,"diumenge",1,"Mercat del Born","41.387076","2.180426","91.7","39.7","65.8",6
16,2023,1,1,"diumenge",1,"Torre Agbar","41.402124","2.184799","80.8","53.4","62.2",4
17,2023,1,1,"diumenge",1,"Rambla","41.378242","2.175112","88.1","50.2","77.1",8
18,2023,1,1,"diumenge",1,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","69.2",6
19,2023,1,1,"diumenge",2,"Plaça de Joanic",41406,"2.162636","90.8","53.1","63.4",3
20,2023,1,1,"diumenge",2,"Sagrada Familia","41.404484","2.174691","91.4","46.5","66.5",5
21,2023,1,1,"diumenge",2,"Mercat del Born","41.387076","2.180426","91.7","39.7","63.2",5
