Any,Categoria_Nivell,Dia,DiaDeLaSetmana,Id,Latitud,Lloc_interes,Id_Instal,Longitud,Max_Nivell_LAeq_1h,Mes,Min_Nivell_LAeq_1h,Nivell_LAeq_1h,Hora_enter
2023,6,1,diumenge,1,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,74.3,0
2023,9,1,diumenge,2,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,84.4,0
2023,5,1,diumenge,3,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,68.9,0
2023,6,1,diumenge,4,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,70.9,0
2023,5,1,diumenge,5,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,73.1,1
2023,5,1,diumenge,6,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,64.6,1
2023,5,1,diumenge,7,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,67.2,1
2023,6,1,diumenge,8,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,74.6,1
2023,5,1,diumenge,9,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,65.6,2
2023,5,1,diumenge,10,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,66.5,2
2023,4,1,diumenge,11,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,68.8,2
2023,3,1,diumenge,12,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,63.4,2
2023,5,1,diumenge,13,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,65.2,3
2023,3,1,diumenge,14,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,57.7,3
2023,3,1,diumenge,15,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,61.5,3
2023,3,1,diumenge,16,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,67.4,3
2023,4,1,diumenge,17,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,62.8,4
2023,3,1,diumenge,18,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,66,4
2023,3,1,diumenge,19,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,64.3,4
2023,4,1,diumenge,20,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,62.9,4
2023,3,1,diumenge,21,"41,37485",Sant Maria del Mar,497,"2,166773",87.6,1,60.1,66.6,5
2023,3,1,diumenge,22,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,56,5
2023,3,1,diumenge,23,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,58.2,5
2023,2,1,diumenge,24,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,60.6,5
2023,3,1,diumenge,25,"41,404484",Sagrada Familia,6756,"2,174691",91.4,1,46.5,56.2,6
2023,3,1,diumenge,26,"41,406",Plaça de Joanic,7306,"2,162636",90.8,1,53.1,62.2,6
2023,3,1,diumenge,27,"41,378803",Mercat de Sant Antoni,5766,"2,160936",95.7,1,43.7,54.3,6
